mmsi,inferred,known
205311590,cargo_or_tanker,
205311890,cargo_or_tanker,
205311990,cargo_or_tanker,
205312390,cargo_or_tanker,
205312490,cargo_or_tanker,
205312590,cargo_or_tanker,
205313000,cargo_or_tanker,
205313190,cargo_or_tanker,
205313790,cargo_or_tanker,
205314190,cargo_or_tanker,
205314790,cargo_or_tanker,
205315290,cargo_or_tanker,
205315390,cargo_or_tanker,
205316000,trawlers,trawlers
205316790,cargo_or_tanker,
205316890,cargo_or_tanker,
205317000,trawlers,
205317390,cargo_or_tanker,
205317690,cargo_or_tanker,
205317990,cargo_or_tanker,
205318190,cargo_or_tanker,
205318590,cargo_or_tanker,
205319090,cargo_or_tanker,
205319690,cargo_or_tanker,
205319790,cargo_or_tanker,
205320790,cargo_or_tanker,
205321000,trawlers,
205321090,cargo_or_tanker,
205321690,cargo_or_tanker,
205322000,trawlers,
205322790,cargo_or_tanker,
205323590,cargo_or_tanker,
205324290,cargo_or_tanker,
205325000,trawlers,
205325390,cargo_or_tanker,
205325490,cargo_or_tanker,
205325590,tug,
205325990,cargo_or_tanker,
205326190,passenger,
205326590,tug,
205326690,tug,
205326990,cargo_or_tanker,
205327000,trawlers,
205327590,cargo_or_tanker,
205327890,cargo_or_tanker,
205328490,cargo_or_tanker,
205328590,cargo_or_tanker,
205328690,cargo_or_tanker,
205328790,cargo_or_tanker,
205328800,cargo_or_tanker,
205329790,cargo_or_tanker,
205329990,cargo_or_tanker,
205330590,tug,
205330690,tug,
205330790,cargo_or_tanker,
205330990,cargo_or_tanker,
205331090,cargo_or_tanker,
205331790,cargo_or_tanker,
205332090,cargo_or_tanker,
205332390,cargo_or_tanker,
205333000,trawlers,trawlers
205333090,tug,
205333490,cargo_or_tanker,
205333890,cargo_or_tanker,
205334690,cargo_or_tanker,
205334890,cargo_or_tanker,cargo_or_tanker
205335190,cargo_or_tanker,
205335490,cargo_or_tanker,cargo_or_tanker
205335890,cargo_or_tanker,
205336090,cargo_or_tanker,
205337190,cargo_or_tanker,
205337590,tug,
205338490,cargo_or_tanker,cargo_or_tanker
205338890,passenger,
205339590,cargo_or_tanker,
205339690,cargo_or_tanker,
205339890,cargo_or_tanker,
205340000,tug,tug
205340190,cargo_or_tanker,
205340390,cargo_or_tanker,
205340690,cargo_or_tanker,
205340790,cargo_or_tanker,
205340890,cargo_or_tanker,
205340990,tug,
205341190,cargo_or_tanker,
205341390,cargo_or_tanker,
205341690,cargo_or_tanker,
205342000,passenger,
205342590,cargo_or_tanker,
205342690,cargo_or_tanker,
205343090,cargo_or_tanker,
205343390,cargo_or_tanker,
205343890,cargo_or_tanker,
205344290,passenger,
205344390,cargo_or_tanker,
205344590,cargo_or_tanker,
205344790,cargo_or_tanker,
205344990,passenger,
205345000,trawlers,
205345090,cargo_or_tanker,
205345190,cargo_or_tanker,
205345590,cargo_or_tanker,
205345790,cargo_or_tanker,
205345890,cargo_or_tanker,
205346190,cargo_or_tanker,
205346590,cargo_or_tanker,
205346790,cargo_or_tanker,cargo_or_tanker
205346890,cargo_or_tanker,
205347290,cargo_or_tanker,
205347300,cargo_or_tanker,
205347790,cargo_or_tanker,
205347890,cargo_or_tanker,
205347990,cargo_or_tanker,
205348000,tug,
205348290,cargo_or_tanker,
205348390,cargo_or_tanker,
205348490,cargo_or_tanker,
205348690,cargo_or_tanker,
205348990,cargo_or_tanker,
205349000,tug,
205349190,cargo_or_tanker,
205349590,cargo_or_tanker,
205349690,cargo_or_tanker,
205349890,cargo_or_tanker,
205350190,cargo_or_tanker,
205350490,cargo_or_tanker,
205350990,cargo_or_tanker,
205351000,cargo_or_tanker,
205351190,tug,
205351290,tug,
205351390,cargo_or_tanker,
