mmsi,power,length,tonnage
258261000,8200,99.5, 
258262000,2240,48.2, 
258265000,6000,74.6, 
258290000,630,27.15, 176
258303000,3000,69.94, 
258306000,4240,68.1, 
258307000,635,10.97, 
258308000,6120,68.8, 
258319000,1300,34.9, 323
258324000,1520,32.42, 
258334000,2000,54.27, 589
258351000,825,43.2, 
258354000,4700,64.0, 
258360000,4200,75.5, 
258381000,3260,62.95, 1147
258387000,1250,54.95, 
258397000,3264,47.7, 499
258410000,5200,55.0, 
258412000,4080,69.65, 
258425000,10200,75.4, 
258449000,500,18.25, 90
258470000,1197,36.39, 
258483000,1521,46.58, 
258503000,830,25.33, 177
258519510,291,10.65, 
258524000,500,23.56, 195
258526810,230,10.65, 
258535000,6000,64.0, 
258537110,190,10.6, 12
258542000,990,26.25, 
258547000,8500,67.4, 
258552000,3400,60.33, 
258553000,1414,38.05, 
258563000,4590,74.8, 
258568010,95,9.72, 12
258590000,7500,67.9, 
258637000,4080,69.9, 
258654000,5500,77.5, 
258732000,6120,69.9, 
258773000,4023,64.0, 
258778000,6400,69.8, 
258797000,749,34.07, 499
258874000,5800,74.7, 
258943000,5800,74.7, 
258944000,4000,76.4, 
258962000,1250,49.95, 1101
258984000,8000,74.0, 
258987930,343,10.96, 
258991000,3400,69.95, 
258997480,50,7.59, 3
259023000,2400,51.3, 
259092000,1000,36.5, 
259102000,506,21.26, 144
259103000,940,27.4, 
259106000,4395,53.2, 
259107000,1630,28.26, 
259109000,1075,38.24, 
259118000,720,27.49, 
259128000,960,29.4, 
259129000,4800,64.0, 
259130000,4700,64.0, 
259132000,6120,71.1, 
259137000,660,32.45, 
259154000,505,19.79, 137
259166000,3600,60.9, 
259178000,917,38.78, 
259180000,870,27.4, 184
259203000,999,27.42, 
259205000,780,26.13, 181
259208000,1600,33.95, 
259209000,4700,64.0, 
259214000,600,18.4, 73
259217000,473,19.8, 89
259225000,1000,37.9, 
259232000,2251,66.96, 
259242000,6700,70.6, 
