,mmsi,shiptype,length,tonnage,length_stddev,tonnage_stddev,number_shiptypes
2267,441720000,Reefer,87.54,2623.0,3.4315424915,0.0,1
2268,529584000,Bunker,88.01,3000.0,,,1
2269,224088740,Unknown,26.64,94.9,,,1
2270,247121420,Trawlers,26.1,108.0,,,1
2271,660004300,Purse_seines,89.4,2666.0,,,1
2272,367559610,Pole_and_line,23.8,123.0,,,1
2273,416002164,Drifting_longlines,17.5,25.93,,,1
2274,416004624,Drifting_longlines,23.9,99.82,,,1
2275,441675000,Purse_seines,70.59,1061.0,,,1
2276,416000159,Drifting_longlines,22.72,49.2,,,1
2277,247145370,Drifting_longlines,24.13,82.0,,,1
2278,451004112,Purse_seines,61.51,999.0,,,1
2279,416002983,Drifting_longlines,22.1,49.79,,,1
2280,250001656,Trawlers,23.4,163.0,,,1
2281,234896000,Trawlers,24.26,,,,1
2282,367185130,Recreational_fishing,25.9,90.0,,,1
2283,247091160,Purse_seines,23.3,56.0,,,1
2284,248000728,Unknown,20.4,128.0,,,1
2285,664578000,Purse_seines,88.65,2788.0,,,1
2286,227913000,Trawlers,24.9,85.0,,,1
2287,224020890,Drifting_longlines,30.0,239.0,0.0,0.0,1
2288,224042780,Purse_seines,20.5,57.5,,,1
2289,247300080,Drifting_longlines,20.65,56.0,,,1
2290,416000394,Drifting_longlines,26.35,97.52,,,1
2291,271072184,Unknown,34.0,181.0,,,1
