mmsi,clav_TUVI,rfmo_id,length,tonnage,power
367030568,26995,13286,23.6,138.0,500.0
303679000,4560,14590,21.27,107.0,600.0
440733000,884,8253,47.21,384.0,1e3
431725000,1331,4579,54.8,499.0,NA
312888000,9998,7487,23.9,80.0,640.0
412270057,1454,7129,50.0,647.0,1029.0
273356760,23988,13648,94.0,2712.0,NA
431702550,1369,4275,54.11,619.0,1e3
432924000,24386,15314,49.99,439.0,1001.0
730016000,4803,3964,65.84,1428.0,3600.0
431038000,1151,5525,49.99,431.0,NA
432461000,619,9067,43.44,319.0,NA
432106000,15696,12105,50.94,499.0,1800.0
412283999,24315,15274,50.8,625.0,1176.0
431702990,628,5373,49.9,435.0,986.0
440871000,204,8125,49.91,416.0,1200.0
431700200,1152,4723,44.8,319.0,NA
520174000,16162,15580,36.6,193.0,519.0
224623000,1504,12367,55.0,1058.0,1875.0
432444000,1028,12017,49.99,439.0,986.0
416353000,720,8721,59.2,628.0,1500.0
212121212,24848,15590,43.2,496.0,1400.0
441043000,6,8227,49.91,417.0,1200.0
416002859,1096,14369,28.2,98.0,1e3
412371197,36561,15992,44.02,411.0,811.0
441374000,895,12191,49.61,419.0,1e3
412209183,364,15566,49.15,558.0,1e3
431602130,149,12039,48.19,379.0,1e3
432894000,21840,15249,49.3,398.0,1001.0
303137000,4843,4120,67.3,996.0,4425.0
416032700,457,8591,52.65,489.0,1200.0
412370008,14703,4409,48.48,427.0,735.0
412371179,363,4219,48.03,577.0,936.0
224286000,843,6401,32.25,301.0,421.0
440575000,190,3349,60.04,992.0,NA
440926000,259,8147,48.43,393.0,1200.0
576638000,713,5731,46.5,499.0,1200.0
576276000,23982,14336,99.5,3822.0,NA
367098480,26594,15842,22.86,88.0,1e3
576420000,23978,14348,91.48,2717.0,2e3
431500836,1115,13606,32.1,143.0,NA
224110000,1440,8785,25.25,128.0,NA
416002586,159,14366,28.2,99.0,829.0
576890000,536,9455,46.75,558.0,NA
441645000,281,4899,49.93,419.0,1600.0
224044870,1688,14918,25.0,264.0,404.0
440846000,866,8255,47.21,384.0,1e3
432856000,36642,14956,49.3,392.0,986.0
735059088,1703,9433,77.3,2165.0,4400.0
224017000,832,5641,43.5,606.0,878.0
440045000,856,8313,47.21,380.0,1e3
529578000,26933,13643,86.09,2713.0,2e3
431465000,15762,12053,77.85,1820.0,NA
367402670,1644,9955,22.25,80.0,360.0
416002962,1093,12468,29.88,99.0,1e3
431855000,643,4165,51.2,439.0,NA
431469000,15665,12093,50.6,499.0,NA
412420903,24535,15547,41.0,462.0,979.0
431602530,663,4851,51.2,439.0,NA
412420812,24298,15214,44.19,473.0,1262.0
224189000,846,6403,37.5,403.0,781.0
224015550,293,5629,37.5,411.0,501.0
224114750,8082,14927,27.0,163.0,396.0
224459000,739,6391,37.5,408.0,425.0
416002569,14197,9513,24.5,62.0,600.0
432878000,24597,15222,49.99,439.0,1001.0
412270058,1452,7131,46.75,565.0,956.0
412420906,24378,15559,41.0,461.0,810.0
367364340,675,14030,23.98,126.0,470.0
416717000,38407,14600,48.95,472.0,1200.0
735059287,24915,15662,91.1,2838.0,NA
416220600,21200,14717,29.2,98.0,940.0
368048000,1857,10693,19.11,89.0,500.0
440246000,838,8379,49.91,411.0,1200.0
224619000,100,15210,40.95,593.0,732.0
440986000,853,8263,47.21,380.0,1e3
412331029,24888,15634,51.2,698.0,1599.0
263582000,17,14393,44.9,602.0,1240.0
366943720,840,14071,12.67,30.0,165.0
416229900,15830,14703,23.9,97.0,707.0
367061930,3938,13270,23.01,111.0,640.0
416001519,1092,12472,26.15,96.0,750.0
367332090,780,7373,22.86,119.0,425.0
416000461,510,14636,29.15,99.0,650.0
316003050,21343,14900,18.85,36.0,300.0
371224000,4758,3697,72.83,1640.0,2e3
353038000,6628,3469,76.8,1350.0,NA
367428110,1899,10869,17.83,48.0,355.0
412370006,14702,4477,48.48,379.0,735.0
367338850,677,8435,21.03,114.0,750.0
367347000,2069,11329,32.49,176.0,590.0
416220800,129,13544,36.6,246.0,1032.0
416164600,722,9593,56.0,530.0,1400.0
224115880,1455,8803,28.0,100.0,NA
367172260,4463,14483,37.97,179.0,850.0
413300480,2035,14725,47.3,573.0,1200.0
432298000,368,4259,49.99,409.0,NA
352419000,4810,3997,67.66,1329.0,3600.0
224609000,830,6373,39.0,427.0,500.0
412331031,24885,15631,51.2,698.0,1599.0
412420851,24518,15530,41.0,460.0,1e3
431801000,664,13587,56.2,499.0,2e3
366738920,3542,12594,24.1,167.0,960.0
432282000,1138,9069,49.2,409.0,NA
440595000,939,8359,49.47,427.0,1200.0
431487000,665,13588,56.87,499.0,2e3
432955000,24883,15629,49.3,398.0,999.0
224591000,1661,12436,46.12,619.0,NA
431700970,1131,4387,49.99,409.0,520.0
224288000,1483,8889,30.0,147.0,NA
416804000,523,8587,52.65,497.0,1200.0
440935000,850,8297,49.61,416.0,1200.0
440900000,280,8199,49.91,417.0,1200.0
735057638,2052,6347,77.3,2165.0,4400.0
412329403,24324,15283,40.22,357.0,999.0
576277000,23981,14338,95.92,2781.0,NA
316001021,21456,14822,16.69,28.0,250.0
416867000,19746,14644,48.8,451.0,1200.0
224108000,8028,8833,35.1,201.0,NA
412439605,14420,9549,61.94,1280.0,NA
224366000,972,6415,42.45,627.0,489.0
431702470,1234,4707,48.03,379.0,NA
730015000,4739,3556,66.14,1535.0,3600.0
431809000,760,4615,46.9,397.0,950.0
224066580,1682,8797,28.4,80.0,NA
224472000,25,12435,37.5,451.0,NA
224318000,1427,12123,47.75,405.0,NA
416004368,1005,6327,29.3,98.0,600.0
440192000,1202,8191,48.06,430.0,1200.0
224016000,97,6371,35.0,394.0,576.0
431935000,915,13596,56.87,499.0,NA
412420901,24533,15545,41.0,462.0,979.0
224929000,1469,8817,31.0,294.0,300.0
441483000,860,4555,47.51,387.0,1e3
