mmsi,primary_geartype,secondary_geartype
247148660,Trawlers,Purse seines
263418780,Drifting longlines,Set longlines
237151000,Trawlers,Purse seines
238641410,Purse seines,Trawlers
247110330,Trawlers,Purse seines
247141490,Purse seines,Set longlines
224610000,Set longlines,Set gillnets
261010820,Trawlers,Set gillnets
247131490,Purse seines,Set longlines
263405940,Set longlines,Set gillnets
261003890,Drifting longlines,Trawlers
237610000,Trawlers,Purse seines
238294140,Purse seines,Set gillnets
247068110,Trawlers,Set gillnets
227592480,Set gillnets,Pots and traps
237688000,Trawlers,Purse seines
247141410,Trawlers,Set longlines
240396000,Drifting longlines,Set gillnets
211758000,Trawlers,Set gillnets
247126820,Trawlers,Purse seines
227640710,Trawlers,Set longlines
255402650,Pole and line,Set longlines
239096000,Drifting longlines,Set longlines
224081290,Set longlines,Pots and traps
247140670,Purse seines,Set longlines
247148780,Purse seines,Set longlines
224024000,Set longlines,Set gillnets
237070000,Purse seines,Trawlers
247072740,Trawlers,Purse seines
247143680,Purse seines,Set longlines
250370000,Trawlers,Fishing vessel
247140560,Purse seines,Set longlines
261004280,Trawlers,Drifting longlines
247142820,Trawlers,Set longlines
219014162,Set gillnets,Set longlines
227637310,Trawlers,Set gillnets
237108000,Purse seines,Trawlers
247300930,Trawlers,Set longlines
263266000,Pots and traps,Set longlines
247131580,Trawlers,Set longlines
227957000,Set longlines,Drifting longlines
265616510,Pots and traps,Set gillnets
237911000,Trawlers,Set longlines
247143810,Set longlines,Fishing vessel
227689760,Set gillnets,Pots and traps
247144090,Trawlers,Purse seines
247121970,Trawlers,Purse seines
240552000,Drifting longlines,Set gillnets
247148620,Trawlers,Set longlines
238622310,Purse seines,Set gillnets
224268000,Set longlines,Set gillnets
247142970,Trawlers,Set longlines
240394000,Drifting longlines,Set gillnets
247091110,Trawlers,Set longlines
220051000,Fishing vessel,Trawlers
247141890,Trawlers,Set longlines
247120602,Trawlers,Set gillnets
237586000,Trawlers,Purse seines
244668000,Trawlers,Fishing vessel
261001700,Set gillnets,Set longlines
238905540,Purse seines,Trawlers
240338000,Trawlers,Purse seines
263405380,Set gillnets,Drifting longlines
237190000,Trawlers,Purse seines
227702720,Set gillnets,Pole and line
247130760,Trawlers,Set longlines
237086000,Trawlers,Purse seines
212447000,Drifting longlines,Set longlines
237439000,Drifting longlines,Set gillnets
227317780,Set gillnets,Trawlers
238604010,Purse seines,Fishing vessel
247100290,Trawlers,Set gillnets
266142000,Purse seines,Trawlers
224172950,Set longlines,Pots and traps
247148880,Trawlers,Purse seines
247120390,Trawlers,Purse seines
224274380,Set longlines,Pots and traps
227589520,Trawlers,Set gillnets
247094320,Trawlers,Set gillnets
263403780,Set longlines,Set gillnets
247045770,Trawlers,Set longlines
247145710,Trawlers,Set longlines
237570000,Trawlers,Purse seines
247110550,Purse seines,Set longlines
237257000,Trawlers,Purse seines
247073570,Trawlers,Purse seines
261005580,Trawlers,Drifting longlines
250002424,Trawlers,Purse seines
237638000,Trawlers,Purse seines
239424000,Set longlines,Pots and traps
225378000,Set longlines,Set gillnets
247304770,Trawlers,Purse seines
205271000,Trawlers,Set gillnets
